,window,ppo,rsi
292,1078,1,1
375,1079,1,1
458,1080,1,1
541,1081,1,1
624,1082,1,1
707,1083,1,1
790,1084,1,1
873,1085,1,14
956,1086,1,14
1039,1087,1,14
1122,1088,1,14
1205,1089,1,14
1288,1090,1,14
1371,1091,1,14
1454,1092,1,14
1537,1093,1,14
1620,1094,1,14
1703,1095,1,14
1786,1096,1,14
1869,1097,1,14
1952,1098,1,14
2035,1099,1,14
44,1100,1,14
127,1101,1,14
210,1102,1,14
293,1103,1,14
376,1104,1,14
459,1105,1,14
542,1106,1,14
625,1107,1,14
708,1108,1,14
791,1109,1,14
874,1110,1,1
957,1111,1,1
1040,1112,1,1
1123,1113,1,1
1206,1114,1,1
1289,1115,1,1
1372,1116,1,1
1455,1117,1,1
1538,1118,1,1
1621,1119,1,1
1704,1120,1,1
1787,1121,1,1
1870,1122,1,1
1953,1123,1,1
2036,1124,1,1
45,1125,1,1
128,1126,1,1
211,1127,1,1
294,1128,1,2
377,1129,1,2
460,1130,1,2
543,1131,1,2
626,1132,1,2
709,1133,1,2
792,1134,1,2
875,1135,1,2
958,1136,1,2
1041,1137,1,2
1124,1138,1,2
1207,1139,1,2
1290,1140,1,2
1373,1141,1,2
1456,1142,1,2
1539,1143,1,2
1622,1144,1,2
1705,1145,1,2
1788,1146,1,2
1871,1147,1,2
1954,1148,1,2
2037,1149,1,2
46,1150,1,2
129,1151,1,2
212,1152,1,2
295,1153,1,1
378,1154,1,1
461,1155,1,1
544,1156,1,1
627,1157,1,1
710,1158,1,1
793,1159,1,1
876,1160,1,1
959,1161,1,1
1042,1162,1,1
1125,1163,1,1
1208,1164,1,1
1291,1165,1,1
1374,1166,7,14
1457,1167,7,14
1540,1168,7,14
1623,1169,7,14
1706,1170,7,14
1789,1171,7,14
1872,1172,7,14
1955,1173,7,14
2038,1174,7,14
47,1175,7,14
130,1176,7,14
213,1177,7,14
296,1178,7,14
379,1179,7,14
462,1180,7,14
545,1181,7,14
628,1182,7,14
711,1183,7,14
794,1184,7,14
877,1185,7,14
960,1186,7,14
1043,1187,7,14
1126,1188,7,14
1209,1189,7,14
1292,1190,1,1
1375,1191,1,1
1458,1192,1,1
1541,1193,1,1
1624,1194,1,1
1707,1195,1,1
1790,1196,1,1
1873,1197,1,1
1956,1198,1,1
2039,1199,1,1
48,1200,1,1
131,1201,1,1
214,1202,1,1
297,1203,1,1
380,1204,1,1
463,1205,1,1
546,1206,1,1
629,1207,1,1
712,1208,1,1
795,1209,1,1
878,1210,1,1
961,1211,1,1
1044,1212,1,1
1127,1213,1,1
1210,1214,1,1
1293,1215,1,1
1376,1216,1,1
1459,1217,1,1
1542,1218,1,1
1625,1219,1,1
1708,1220,1,3
1791,1221,1,3
1874,1222,1,3
1957,1223,1,3
2040,1224,1,3
49,1225,1,3
132,1226,1,3
215,1227,1,3
298,1228,1,3
381,1229,1,3
464,1230,1,3
547,1231,1,3
630,1232,1,3
713,1233,1,3
796,1234,1,3
879,1235,1,3
962,1236,1,3
1045,1237,1,3
1128,1238,1,3
1211,1239,1,3
1294,1240,1,3
1377,1241,1,3
1460,1242,1,3
1543,1243,1,3
1626,1244,1,3
1709,1245,1,1
1792,1246,1,1
1875,1247,1,1
1958,1248,1,1
2041,1249,1,1
50,1250,1,1
133,1251,1,1
216,1252,1,1
299,1253,1,1
382,1254,1,1
465,1255,1,1
548,1256,1,1
631,1257,1,1
714,1258,1,1
797,1259,1,1
880,1260,1,1
963,1261,1,1
1046,1262,1,1
1129,1263,1,1
1212,1264,1,1
1295,1265,1,1
1378,1266,1,1
1461,1267,1,1
1544,1268,1,1
1627,1269,1,1
1710,1270,1,1
1793,1271,1,1
1876,1272,1,1
1959,1273,1,1
2042,1274,1,1
51,1275,1,1
134,1276,1,1
217,1277,1,1
300,1278,1,1
383,1279,1,1
466,1280,1,1
549,1281,1,1
632,1282,1,1
715,1283,1,1
798,1284,1,1
881,1285,1,1
964,1286,1,1
1047,1287,1,1
1130,1288,1,1
1213,1289,1,1
1296,1290,1,1
1379,1291,1,1
1462,1292,1,1
1545,1293,1,1
1628,1294,1,1
1711,1295,1,1
1794,1296,1,1
1877,1297,1,1
1960,1298,1,1
2043,1299,1,1
52,1300,1,1
135,1301,1,1
218,1302,1,1
301,1303,1,1
384,1304,1,1
467,1305,1,1
550,1306,1,1
633,1307,1,1
716,1308,1,1
799,1309,1,1
882,1310,1,1
965,1311,1,1
1048,1312,1,1
1131,1313,1,1
1214,1314,1,1
1297,1315,1,1
1380,1316,1,1
1463,1317,1,1
1546,1318,1,1
1629,1319,1,1
1712,1320,1,1
1795,1321,1,1
1878,1322,1,1
1961,1323,1,1
2044,1324,1,1
53,1325,1,1
136,1326,1,9
219,1327,1,1
302,1328,1,1
385,1329,1,1
468,1330,1,1
551,1331,1,1
634,1332,1,1
717,1333,1,1
800,1334,1,1
883,1335,1,1
966,1336,1,1
1049,1337,1,1
1132,1338,1,1
1215,1339,1,1
1298,1340,1,1
1381,1341,1,1
1464,1342,1,1
1547,1343,1,1
1630,1344,1,1
1713,1345,1,1
1796,1346,1,1
1879,1347,1,1
1962,1348,1,1
2045,1349,1,1
54,1350,1,1
137,1351,1,1
220,1352,1,1
303,1353,1,1
386,1354,1,1
469,1355,1,1
552,1356,1,1
635,1357,1,1
718,1358,1,1
801,1359,1,1
884,1360,1,1
967,1361,1,1
1050,1362,1,1
1133,1363,1,1
1216,1364,1,1
1299,1365,1,1
1382,1366,1,1
1465,1367,1,1
1548,1368,1,1
1631,1369,1,1
1714,1370,1,1
1797,1371,1,1
1880,1372,1,1
1963,1373,1,1
2046,1374,1,1
55,1375,1,1
138,1376,1,1
221,1377,1,1
304,1378,1,1
387,1379,1,1
470,1380,1,1
553,1381,1,1
636,1382,1,1
719,1383,1,1
802,1384,1,1
885,1385,1,1
968,1386,1,1
1051,1387,1,1
1134,1388,1,1
1217,1389,1,1
1300,1390,1,1
1383,1391,1,1
1466,1392,1,1
1549,1393,1,1
1632,1394,1,1
1715,1395,1,1
1798,1396,1,1
1881,1397,1,1
1964,1398,1,1
2047,1399,1,1
56,1400,1,1
139,1401,1,1
222,1402,1,1
305,1403,1,1
388,1404,1,1
471,1405,1,1
554,1406,1,1
637,1407,1,1
720,1408,1,1
803,1409,1,1
886,1410,1,1
969,1411,1,1
1052,1412,1,1
1135,1413,1,1
1218,1414,1,1
1301,1415,1,1
1384,1416,7,14
1467,1417,7,14
1550,1418,7,14
1633,1419,7,14
1716,1420,7,14
1799,1421,7,14
1882,1422,7,14
1965,1423,7,14
2048,1424,7,14
57,1425,7,14
140,1426,7,14
223,1427,7,14
306,1428,7,14
389,1429,7,14
472,1430,7,14
555,1431,7,14
638,1432,7,14
721,1433,7,14
804,1434,7,14
887,1435,7,14
970,1436,7,14
1053,1437,7,14
1136,1438,7,14
1219,1439,7,14
1302,1440,1,1
1385,1441,1,1
1468,1442,1,1
1551,1443,1,1
1634,1444,1,1
1717,1445,1,1
1800,1446,1,1
1883,1447,1,1
1966,1448,1,1
2049,1449,1,1
58,1450,1,1
141,1451,1,1
224,1452,1,1
307,1453,1,1
390,1454,1,1
473,1455,1,1
556,1456,1,1
639,1457,1,1
722,1458,1,1
805,1459,1,1
888,1460,1,1
971,1461,1,1
1054,1462,1,1
1137,1463,1,1
1220,1464,1,1
1303,1465,1,1
1386,1466,1,1
1469,1467,1,1
1552,1468,1,1
1635,1469,1,1
1718,1470,1,1
1801,1471,1,1
1884,1472,1,1
1967,1473,1,1
2050,1474,1,1
59,1475,1,1
142,1476,1,1
225,1477,1,1
308,1478,1,1
391,1479,1,1
474,1480,1,1
557,1481,1,1
640,1482,1,1
723,1483,1,1
806,1484,1,1
889,1485,1,1
972,1486,1,1
1055,1487,1,1
1138,1488,1,1
1221,1489,1,1
1304,1490,1,1
1387,1491,1,1
1470,1492,1,1
1553,1493,1,1
1636,1494,1,1
1719,1495,1,1
1802,1496,1,1
1885,1497,1,1
1968,1498,1,1
2051,1499,1,1
60,1500,1,1
143,1501,1,1
226,1502,1,1
309,1503,1,1
392,1504,1,1
475,1505,1,1
558,1506,7,6
641,1507,7,6
724,1508,7,6
807,1509,7,6
890,1510,7,6
973,1511,7,6
1056,1512,8,14
1139,1513,8,14
1222,1514,8,14
1305,1515,8,14
1388,1516,8,14
1471,1517,8,14
1554,1518,8,14
1637,1519,8,14
1720,1520,8,14
1803,1521,8,14
1886,1522,8,14
1969,1523,8,14
2052,1524,8,14
61,1525,8,14
144,1526,8,14
227,1527,8,14
310,1528,8,14
393,1529,8,14
476,1530,8,14
559,1531,8,14
642,1532,8,14
725,1533,8,14
808,1534,8,14
891,1535,8,14
974,1536,1,1
1057,1537,1,11
1140,1538,1,1
1223,1539,1,1
1306,1540,1,1
1389,1541,1,1
1472,1542,1,1
1555,1543,1,1
1638,1544,1,4
1721,1545,1,4
1804,1546,1,4
1887,1547,1,4
1970,1548,1,4
2053,1549,4,14
62,1550,4,14
145,1551,4,14
228,1552,4,14
311,1553,4,14
394,1554,4,14
477,1555,4,14
560,1556,4,14
643,1557,4,14
726,1558,4,14
809,1559,4,14
892,1560,4,14
975,1561,4,14
1058,1562,4,14
1141,1563,4,14
1224,1564,4,14
1307,1565,4,14
1390,1566,4,14
1473,1567,4,14
1556,1568,4,14
1639,1569,4,14
1722,1570,4,14
1805,1571,4,14
1888,1572,4,14
1971,1573,1,1
2054,1574,1,1
63,1575,1,1
146,1576,1,1
229,1577,1,8
312,1578,1,1
395,1579,1,1
478,1580,1,1
561,1581,1,1
644,1582,1,1
727,1583,1,1
810,1584,1,1
893,1585,1,1
976,1586,1,1
1059,1587,1,1
1142,1588,1,1
1225,1589,1,1
1308,1590,1,1
1391,1591,1,1
1474,1592,1,1
1557,1593,1,1
1640,1594,1,1
1723,1595,1,1
1806,1596,1,1
1889,1597,1,1
1972,1598,1,1
2055,1599,1,1
64,1600,1,1
147,1601,1,1
230,1602,1,1
313,1603,1,1
396,1604,1,1
479,1605,1,1
562,1606,1,1
645,1607,1,1
728,1608,1,1
811,1609,1,1
894,1610,1,1
977,1611,1,1
1060,1612,1,1
1143,1613,1,1
1226,1614,1,3
1309,1615,1,1
1392,1616,7,11
1475,1617,7,11
1558,1618,7,11
1641,1619,7,11
1724,1620,1,13
1807,1621,1,13
1890,1622,1,13
1973,1623,1,13
2056,1624,1,13
65,1625,1,13
148,1626,1,13
231,1627,1,13
314,1628,1,13
397,1629,1,13
480,1630,1,13
563,1631,1,13
646,1632,1,13
729,1633,1,13
812,1634,1,13
895,1635,1,13
978,1636,1,13
1061,1637,1,13
1144,1638,6,14
1227,1639,6,14
1310,1640,6,14
1393,1641,6,14
1476,1642,6,14
1559,1643,6,14
1642,1644,6,14
1725,1645,6,14
1808,1646,6,14
1891,1647,6,14
1974,1648,6,14
2057,1649,6,14
66,1650,6,14
149,1651,6,14
232,1652,6,14
315,1653,6,14
398,1654,6,14
481,1655,6,14
564,1656,6,14
647,1657,6,14
730,1658,6,14
813,1659,6,14
896,1660,6,14
979,1661,6,14
1062,1662,6,14
1145,1663,1,1
1228,1664,1,1
1311,1665,1,1
1394,1666,1,1
1477,1667,1,4
1560,1668,1,4
1643,1669,1,4
1726,1670,1,4
1809,1671,1,4
1892,1672,1,4
1975,1673,1,4
2058,1674,1,4
67,1675,1,4
150,1676,1,4
233,1677,1,4
316,1678,1,4
399,1679,1,4
482,1680,1,4
565,1681,1,4
648,1682,1,4
731,1683,1,4
814,1684,1,4
897,1685,1,4
980,1686,7,14
1063,1687,8,14
1146,1688,8,14
1229,1689,8,14
1312,1690,8,14
1395,1691,8,14
1478,1692,8,14
1561,1693,8,14
1644,1694,8,14
1727,1695,8,14
1810,1696,8,14
1893,1697,8,14
1976,1698,8,14
2059,1699,8,14
68,1700,8,14
151,1701,8,14
234,1702,8,14
317,1703,8,14
400,1704,8,14
483,1705,8,14
566,1706,8,14
649,1707,8,14
732,1708,8,14
815,1709,8,14
898,1710,8,14
981,1711,8,14
1064,1712,1,1
1147,1713,1,1
1230,1714,1,1
1313,1715,1,1
1396,1716,1,1
1479,1717,1,1
1562,1718,1,1
1645,1719,1,1
1728,1720,1,1
1811,1721,1,1
1894,1722,1,1
1977,1723,1,1
2060,1724,1,1
69,1725,1,1
152,1726,1,1
235,1727,1,1
318,1728,1,1
401,1729,1,1
484,1730,1,1
567,1731,1,1
650,1732,1,1
733,1733,1,1
816,1734,1,1
899,1735,1,1
982,1736,1,1
1065,1737,1,1
1148,1738,1,1
1231,1739,1,1
1314,1740,1,1
1397,1741,1,1
1480,1742,1,1
1563,1743,1,1
1646,1744,1,1
1729,1745,1,8
1812,1746,1,8
1895,1747,1,8
1978,1748,1,1
2061,1749,1,1
70,1750,1,1
153,1751,1,1
236,1752,1,1
319,1753,1,1
402,1754,1,1
485,1755,1,1
568,1756,1,1
651,1757,8,2
734,1758,8,2
817,1759,8,2
900,1760,8,2
983,1761,8,2
1066,1762,8,2
1149,1763,8,2
1232,1764,8,2
1315,1765,8,2
1398,1766,8,2
1481,1767,8,2
1564,1768,8,2
1647,1769,5,3
1730,1770,5,3
1813,1771,7,1
1896,1772,7,1
1979,1773,7,1
2062,1774,7,1
71,1775,7,1
154,1776,7,1
237,1777,7,1
320,1778,7,1
403,1779,7,1
486,1780,7,1
569,1781,1,2
652,1782,4,1
735,1783,4,1
818,1784,4,1
901,1785,4,1
984,1786,4,1
1067,1787,4,1
1150,1788,4,1
1233,1789,4,1
1316,1790,4,1
1399,1791,4,1
1482,1792,4,1
1565,1793,4,1
1648,1794,4,1
1731,1795,4,1
1814,1796,1,1
1897,1797,1,1
1980,1798,1,1
2063,1799,1,1
72,1800,1,1
155,1801,1,1
238,1802,1,1
321,1803,1,1
404,1804,1,1
487,1805,1,1
570,1806,1,1
653,1807,1,1
736,1808,1,1
819,1809,1,1
902,1810,8,12
985,1811,8,12
1068,1812,8,12
1151,1813,8,12
1234,1814,8,12
1317,1815,8,12
1400,1816,8,12
1483,1817,8,12
1566,1818,8,12
1649,1819,8,12
1732,1820,8,12
1815,1821,8,12
1898,1822,8,12
1981,1823,8,12
2064,1824,8,12
73,1825,8,12
156,1826,8,12
239,1827,10,1
322,1828,10,1
405,1829,10,1
488,1830,2,1
571,1831,2,1
654,1832,2,1
737,1833,2,1
820,1834,2,1
903,1835,2,1
986,1836,2,1
1069,1837,2,1
1152,1838,2,1
1235,1839,2,1
1318,1840,2,1
1401,1841,2,1
1484,1842,2,1
1567,1843,2,1
1650,1844,2,1
1733,1845,2,1
1816,1846,2,1
1899,1847,2,1
1982,1848,2,1
2065,1849,2,1
74,1850,2,1
157,1851,2,1
240,1852,2,1
323,1853,2,1
406,1854,7,14
489,1855,7,14
572,1856,7,14
655,1857,7,14
738,1858,7,14
821,1859,7,14
904,1860,7,14
987,1861,7,14
1070,1862,7,14
1153,1863,1,6
1236,1864,1,6
1319,1865,1,6
1402,1866,1,6
1485,1867,1,6
1568,1868,1,6
1651,1869,1,6
1734,1870,1,6
1817,1871,1,6
1900,1872,1,6
1983,1873,1,6
2066,1874,1,6
75,1875,1,6
158,1876,1,5
241,1877,1,5
324,1878,1,5
407,1879,1,5
490,1880,1,1
573,1881,1,1
656,1882,1,1
739,1883,1,1
822,1884,1,1
905,1885,1,1
988,1886,1,1
1071,1887,1,1
1154,1888,1,1
1237,1889,1,2
1320,1890,1,1
1403,1891,1,1
1486,1892,1,1
1569,1893,1,1
1652,1894,1,1
1735,1895,1,1
1818,1896,1,1
1901,1897,1,1
1984,1898,1,1
2067,1899,1,1
76,1900,1,1
159,1901,1,1
242,1902,1,1
325,1903,1,1
408,1904,1,1
491,1905,1,1
574,1906,1,1
657,1907,1,1
740,1908,2,1
823,1909,2,1
906,1910,2,1
989,1911,2,1
1072,1912,2,1
1155,1913,2,1
1238,1914,1,3
1321,1915,1,3
1404,1916,1,3
1487,1917,1,3
1570,1918,1,3
1653,1919,1,3
1736,1920,1,3
1819,1921,1,3
1902,1922,1,3
1985,1923,1,3
2068,1924,1,3
77,1925,1,3
160,1926,1,3
243,1927,1,3
326,1928,1,3
409,1929,1,3
492,1930,1,3
575,1931,1,1
658,1932,1,2
741,1933,1,2
824,1934,1,2
907,1935,1,2
990,1936,1,2
1073,1937,1,4
1156,1938,1,4
1239,1939,1,4
1322,1940,1,4
1405,1941,1,2
1488,1942,1,2
1571,1943,1,2
1654,1944,1,2
1737,1945,1,2
1820,1946,1,8
1903,1947,1,2
1986,1948,1,7
2069,1949,1,7
78,1950,1,7
161,1951,1,7
244,1952,7,14
327,1953,7,14
410,1954,7,14
493,1955,7,14
576,1956,7,14
659,1957,7,14
742,1958,7,14
825,1959,7,14
908,1960,7,14
991,1961,7,14
1074,1962,7,14
1157,1963,7,14
1240,1964,7,14
1323,1965,7,14
1406,1966,7,14
1489,1967,7,14
1572,1968,7,14
1655,1969,7,14
1738,1970,7,14
1821,1971,7,14
1904,1972,7,14
1987,1973,7,14
2070,1974,7,14
79,1975,7,14
162,1976,1,5
245,1977,1,9
328,1978,1,9
411,1979,1,10
494,1980,1,9
577,1981,2,8
660,1982,1,9
743,1983,1,7
826,1984,1,7
909,1985,1,7
992,1986,1,7
1075,1987,1,7
1158,1988,1,7
1241,1989,2,6
1324,1990,2,6
1407,1991,2,6
1490,1992,2,6
1573,1993,2,6
1656,1994,2,6
1739,1995,2,6
1822,1996,2,6
1905,1997,2,6
1988,1998,2,6
2071,1999,2,6
80,2000,2,6
163,2001,2,6
246,2002,2,6
329,2003,2,6
412,2004,2,6
495,2005,1,5
578,2006,1,5
661,2007,1,5
744,2008,1,5
827,2009,1,3
910,2010,1,3
993,2011,1,3
1076,2012,1,3
1159,2013,1,3
1242,2014,1,3
1325,2015,1,3
1408,2016,1,3
1491,2017,1,3
1574,2018,1,3
1657,2019,1,3
1740,2020,1,3
1823,2021,1,3
1906,2022,1,14
1989,2023,1,14
2072,2024,1,14
81,2025,4,11
164,2026,1,14
247,2027,1,14
330,2028,1,14
413,2029,1,14
496,2030,1,14
579,2031,1,14
662,2032,1,14
745,2033,1,14
828,2034,1,14
911,2035,1,14
994,2036,1,14
1077,2037,1,2
1160,2038,1,2
1243,2039,1,2
1326,2040,1,2
1409,2041,1,2
1492,2042,1,2
1575,2043,1,2
1658,2044,1,1
1741,2045,1,1
1824,2046,1,1
1907,2047,1,1
1990,2048,1,1
2073,2049,1,1
82,2050,1,1
165,2051,1,1
248,2052,1,1
331,2053,1,1
414,2054,1,1
497,2055,1,1
580,2056,1,1
663,2057,1,1
746,2058,1,1
829,2059,1,1
912,2060,1,1
995,2061,1,1
1078,2062,1,1
1161,2063,1,1
1244,2064,1,1
1327,2065,1,1
1410,2066,1,1
1493,2067,1,1
1576,2068,1,1
1659,2069,1,1
1742,2070,1,1
1825,2071,1,1
1908,2072,1,1
1991,2073,1,1
2074,2074,1,1
